Player,Season,2015/16(*),2016/17(*),2017/18(*),2018/19(*),2019/20(*),2020/21(*),2021/22(*),2022/23(*),2023/24(*)
Bam Adebayo,2020,,,,,,6234206.0,,,
Bam Adebayo,2021,,,,,,,32497412.0,,
Bam Adebayo,2022,,,,,,,,32181628.0,
Bam Adebayo,2023,,,,,,,,,33568737.0
Beau Beech,2016,,58659.0,,,,,,,
Ben Bentil,2016,,367554.0,,,,,,,
Ben McLemore,2015,4155770.0,,,,,,,,
Ben McLemore,2016,,5225711.0,,,,,,,
Ben McLemore,2017,,,6669429.0,,,,,,
Ben McLemore,2018,,,,6807422.0,,,,,
Ben McLemore,2019,,,,,2488194.0,,,,
Ben McLemore,2020,,,,,,3526442.0,,,
Ben McLemore,2021,,,,,,,2763255.0,,
Ben Moore,2017,,,99079.0,,,,,,
Ben Moore,2018,,,,276907.0,,,,,
Ben Sheppard,2023,,,,,,,,,2612561.0
Ben Simmons,2016,,7694965.0,,,,,,,
Ben Simmons,2017,,,7912046.0,,,,,,
Ben Simmons,2018,,,,8022434.0,,,,,
Ben Simmons,2019,,,,,9952228.0,,,,
Ben Simmons,2020,,,,,,37242235.0,,,
Ben Simmons,2021,,,,,,,38164020.0,,
Ben Simmons,2022,,,,,,,,37585801.0,
Ben Simmons,2023,,,,,,,,,39019371.0
Bennedict Mathurin,2022,,,,,,,,6983905.0,
Bennedict Mathurin,2023,,,,,,,,,7121584.0
Beno Udrih,2015,2739002.0,,,,,,,,
Beno Udrih,2016,,1278024.0,,,,,,,
Bilal Coulibaly,2023,,,,,,,,,6810791.0
Billy Garrett,2018,,,,83995.0,,,,,
Billy Preston,2018,,,,96313.0,,,,,
Bismack Biyombo,2015,3704726.0,,,,,,,,
Bismack Biyombo,2016,,22160066.0,,,,,,,
Bismack Biyombo,2017,,,21803902.0,,,,,,
Bismack Biyombo,2018,,,,21195270.0,,,,,
Bismack Biyombo,2019,,,,,20851536.0,,,,
Bismack Biyombo,2020,,,,,,4265420.0,,,
Bismack Biyombo,2021,,,,,,,1755581.0,,
Bismack Biyombo,2022,,,,,,,,3081038.0,
Bismack Biyombo,2023,,,,,,,,,6378124.0
Blake Griffin,2015,24833614.0,,,,,,,,
Blake Griffin,2016,,26191978.0,,,,,,,
Blake Griffin,2017,,,37852729.0,,,,,,
Blake Griffin,2018,,,,39739800.0,,,,,
Blake Griffin,2019,,,,,42254980.0,,,,
Blake Griffin,2020,,,,,,41313933.0,,,
Blake Griffin,2021,,,,,,,37472385.0,,
Blake Griffin,2022,,,,,,,,3081038.0,
Blake Wesley,2022,,,,,,,,2529295.0,
Blake Wesley,2023,,,,,,,,,2579062.0
Boban Marjanovic,2015,1579840.0,,,,,,,,
Boban Marjanovic,2016,,7336285.0,,,,,,,
Boban Marjanovic,2017,,,7543201.0,,,,,,
Boban Marjanovic,2018,,,,11832870.0,,,,,
Boban Marjanovic,2019,,,,,4292963.0,,,,
Boban Marjanovic,2020,,,,,,4265420.0,,,
Boban Marjanovic,2021,,,,,,,4047216.0,,
Boban Marjanovic,2022,,,,,,,,4348747.0,
Boban Marjanovic,2023,,,,,,,,,2977383.0
Bobby Brown,2016,,1225412.0,,,,,,,
Bobby Brown,2017,,,1579500.0,,,,,,
Bobby Portis,2015,1769579.0,,,,,,,,
Bobby Portis,2016,,1830942.0,,,,,,,
Bobby Portis,2017,,,1944805.0,,,,,,
Bobby Portis,2018,,,,3109902.0,,,,,
Bobby Portis,2019,,,,,18398414.0,,,,
Bobby Portis,2020,,,,,,4415319.0,,,
Bobby Portis,2021,,,,,,,5027336.0,,
Bobby Portis,2022,,,,,,,,11497073.0,
Bobby Portis,2023,,,,,,,,,12058792.0
Bogdan Bogdanovic,2017,,,12146843.0,,,,,,
Bogdan Bogdanovic,2018,,,,11221025.0,,,,,
Bogdan Bogdanovic,2019,,,,,10461811.0,,,,
Bogdan Bogdanovic,2020,,,,,,21936446.0,,,
Bogdan Bogdanovic,2021,,,,,,,20814255.0,,
Bogdan Bogdanovic,2022,,,,,,,,19085184.0,
Bogdan Bogdanovic,2023,,,,,,,,,19255651.0
Bojan Bogdanovic,2015,4509799.0,,,,,,,,
Bojan Bogdanovic,2016,,4657550.0,,,,,,,
Bojan Bogdanovic,2017,,,13467116.0,,,,,,
Bojan Bogdanovic,2018,,,,13091196.0,,,,,
Bojan Bogdanovic,2019,,,,,20851536.0,,,,
Bojan Bogdanovic,2020,,,,,,21753642.0,,,
Bojan Bogdanovic,2021,,,,,,,21623698.0,,
Bojan Bogdanovic,2022,,,,,,,,20728630.0,
Bojan Bogdanovic,2023,,,,,,,,,20594279.0
Bol Bol,2019,,,,,97595.0,,,,
Bol Bol,2020,,,,,,2508359.0,,,
Bol Bol,2021,,,,,,,2499042.0,,
Bol Bol,2022,,,,,,,,2332633.0,
Bol Bol,2023,,,,,,,,,2229330.0
Bones Hyland,2021,,,,,,,2424722.0,,
Bones Hyland,2022,,,,,,,,2334245.0,
Bones Hyland,2023,,,,,,,,,2374932.0
Bonzie Colson,2018,,,,96313.0,,,,,
Boris Diaw,2015,9874003.0,,,,,,,,
Boris Diaw,2016,,9124733.0,,,,,,,
Brad Wanamaker,2018,,,,1045380.0,,,,,
Brad Wanamaker,2019,,,,,1773235.0,,,,
Brad Wanamaker,2020,,,,,,2742055.0,,,
Brad Wanamaker,2021,,,,,,,942327.0,,
Bradley Beal,2015,7497229.0,,,,,,,,
Bradley Beal,2016,,28829921.0,,,,,,,
Bradley Beal,2017,,,30494048.0,,,,,,
Bradley Beal,2018,,,,31710944.0,,,,,
Bradley Beal,2019,,,,,33231237.0,,,,
Bradley Beal,2020,,,,,,35039541.0,,,
Bradley Beal,2021,,,,,,,38996895.0,,
Bradley Beal,2022,,,,,,,,45888469.0,
Bradley Beal,2023,,,,,,,,,48130468.0
Brady Heslip,2016,,73649.0,,,,,,,
Brandan Wright,2015,7193540.0,,,,,,,,
Brandan Wright,2016,,7443018.0,,,,,,,
Brandan Wright,2017,,,7638753.0,,,,,,
Branden Dawson,2015,691302.0,,,,,,,,
Brandin Podziemski,2023,,,,,,,,,3452017.0
Brandon Bass,2015,3949601.0,,,,,,,,
Brandon Bass,2016,,2022639.0,,,,,,,
Brandon Clarke,2019,,,,,3040448.0,,,,
Brandon Clarke,2020,,,,,,3172156.0,,,
Brandon Clarke,2021,,,,,,,3153220.0,,
Brandon Clarke,2022,,,,,,,,4605805.0,
Brandon Clarke,2023,,,,,,,,,12871424.0
Brandon Goodwin,2018,,,,70873.0,,,,,
Brandon Goodwin,2019,,,,,641170.0,,,,
Brandon Goodwin,2020,,,,,,2073716.0,,,
Brandon Goodwin,2021,,,,,,,397769.0,,
Brandon Ingram,2016,,6884846.0,,,,,,,
Brandon Ingram,2017,,,7079085.0,,,,,,
Brandon Ingram,2018,,,,7177865.0,,,,,
Brandon Ingram,2019,,,,,8911560.0,,,,
Brandon Ingram,2020,,,,,,33251996.0,,,
Brandon Ingram,2021,,,,,,,34075017.0,,
Brandon Ingram,2022,,,,,,,,33558751.0,
Brandon Ingram,2023,,,,,,,,,34838724.0
Brandon Jennings,2015,10985812.0,,,,,,,,
Brandon Jennings,2016,,7283255.0,,,,,,,
Brandon Jennings,2017,,,488445.0,,,,,,
